date,search_index,brand_ko,brand
2024-08-26,5.59369,에뛰드,etude
2024-09-02,5.74922,에뛰드,etude
2024-09-09,4.44688,에뛰드,etude
2024-09-16,4.70923,에뛰드,etude
2024-09-23,4.97578,에뛰드,etude
2024-09-30,4.7925,에뛰드,etude
2024-10-07,4.80873,에뛰드,etude
2024-10-14,6.35247,에뛰드,etude
2024-10-21,5.15172,에뛰드,etude
2024-10-28,7.85641,에뛰드,etude
2024-11-04,8.76286,에뛰드,etude
2024-11-11,4.86214,에뛰드,etude
2024-11-18,3.53258,에뛰드,etude
2024-11-25,3.96564,에뛰드,etude
2024-12-02,4.03372,에뛰드,etude
2024-12-09,4.01539,에뛰드,etude
2024-12-16,4.87576,에뛰드,etude
2024-12-23,3.83316,에뛰드,etude
2024-12-30,3.78079,에뛰드,etude
2025-01-06,4.24318,에뛰드,etude
2025-01-13,5.24022,에뛰드,etude
2025-01-20,5.28316,에뛰드,etude
2025-01-27,8.90843,에뛰드,etude
2025-02-03,7.00861,에뛰드,etude
2025-02-10,6.26397,에뛰드,etude
2025-02-17,4.86528,에뛰드,etude
2025-02-24,4.99829,에뛰드,etude
2025-03-03,4.44165,에뛰드,etude
2025-03-10,4.71918,에뛰드,etude
2025-03-17,4.24423,에뛰드,etude
2025-03-24,3.44984,에뛰드,etude
2025-03-31,4.00596,에뛰드,etude
2025-04-07,3.88186,에뛰드,etude
2025-04-14,3.84363,에뛰드,etude
2025-04-21,3.14717,에뛰드,etude
2025-04-28,3.04191,에뛰드,etude
2025-05-05,4.02953,에뛰드,etude
2025-05-12,5.59788,에뛰드,etude
2025-05-19,3.47812,에뛰드,etude
2025-05-26,4.32854,에뛰드,etude
2025-06-02,3.83735,에뛰드,etude
2025-06-09,3.37705,에뛰드,etude
2025-06-16,3.34302,에뛰드,etude
2025-06-23,3.71324,에뛰드,etude
2025-06-30,5.06951,에뛰드,etude
2025-07-07,3.32312,에뛰드,etude
2025-07-14,3.10423,에뛰드,etude
2025-07-21,3.11523,에뛰드,etude
2025-07-28,3.25923,에뛰드,etude
2025-08-04,3.41109,에뛰드,etude
2025-08-11,5.09255,에뛰드,etude
2025-08-18,4.20181,에뛰드,etude
2025-08-25,5.08836,에뛰드,etude
2025-09-01,4.2835,에뛰드,etude
2025-09-08,3.17545,에뛰드,etude
2025-09-15,2.88482,에뛰드,etude
2025-09-22,2.93299,에뛰드,etude
2025-09-29,2.96075,에뛰드,etude
2025-10-06,3.2896,에뛰드,etude
2025-10-13,3.06862,에뛰드,etude
2025-10-20,3.60118,에뛰드,etude
2022-01-03,53.11182,이니스프리,innisfree
2022-01-10,41.79614,이니스프리,innisfree
2022-01-17,49.25195,이니스프리,innisfree
2022-01-24,44.35943,이니스프리,innisfree
2022-01-31,57.79802,이니스프리,innisfree
2022-02-07,85.49105,이니스프리,innisfree
2022-02-14,38.4882,이니스프리,innisfree
2022-02-21,34.01042,이니스프리,innisfree
2022-02-28,43.97821,이니스프리,innisfree
2022-03-07,43.62946,이니스프리,innisfree
2022-03-14,36.13541,이니스프리,innisfree
2022-03-21,35.27033,이니스프리,innisfree
2022-03-28,39.30406,이니스프리,innisfree
2022-04-04,43.7389,이니스프리,innisfree
2022-04-11,35.59762,이니스프리,innisfree
2022-04-18,34.69745,이니스프리,innisfree
2022-04-25,41.90506,이니스프리,innisfree
2022-05-02,100.0,이니스프리,innisfree
2022-05-09,49.19016,이니스프리,innisfree
